user_name,from_key,to_key,flight_time,dwell_time
vishnu,t,t,,83.0
vishnu,t,y,60.0,
vishnu,y,y,,126.0
vishnu,y,p,48.0,
vishnu,p,p,,129.0
vishnu,p,e,28.0,
vishnu,p, ,160.0,
vishnu,e,e,,155.0
vishnu, , ,,122.0
vishnu, ,e,328.0,
vishnu,e,e,,119.0
vishnu,e,a,92.0,
vishnu,e,s,192.0,
vishnu,a,a,,114.0
vishnu,s,s,,143.0
vishnu,s,y,240.0,
vishnu,y,y,,100.0
vishnu,y, ,85.0,
vishnu, , ,,171.0
vishnu, ,s,126.0,
vishnu, ,e,191.0,
vishnu,s,s,,134.0
vishnu,e,e,,154.0
vishnu,e,n,111.0,
vishnu,n,n,,115.0
vishnu,n,t,316.0,
vishnu,t,t,,132.0
vishnu,t,e,112.0,
vishnu,e,e,,111.0
vishnu,e,c,269.0,
vishnu,c,c,,106.0
vishnu,c,Backspace,398.0,
vishnu,Backspace,Backspace,,112.0
vishnu,Backspace,n,160.0,
vishnu,Backspace,c,239.0,
vishnu,n,n,,116.0
vishnu,c,c,,101.0
vishnu,c,s,99.0,
vishnu,c,e,240.0,
vishnu,s,s,,182.0
vishnu,e,e,,187.0
vishnu,e, ,149.0,
vishnu, , ,,99.0
vishnu, ,Backspace,128.0,
vishnu,Backspace,Backspace,,72.0
vishnu,Backspace,Backspace,86.0,
vishnu,Backspace,Backspace,,73.0
vishnu,Backspace,Backspace,85.0,
vishnu,Backspace,Backspace,,69.0
vishnu,Backspace,e,420.0,
vishnu,e,e,,130.0
vishnu,e,s,63.0,
vishnu,e, ,247.0,
vishnu,s,s,,224.0
vishnu, , ,,126.0
vishnu, ,o,425.0,
vishnu,o,o,,144.0
vishnu,o,v,2.0,
vishnu,v,v,,118.0
vishnu,v,e,125.0,
vishnu,v,r,271.0,
vishnu,e,e,,160.0
vishnu,e, ,132.0,
vishnu,r,r,,203.0
vishnu, , ,,143.0
vishnu, ,a,195.0,
vishnu, ,n,307.0,
vishnu,a,a,,130.0
